browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,mindsCode,link,calibration,id,age,sex,nationality
Chrome,98.0.4758.82,1536,864,Windows,en-IN,2022-02-09_09:44:16,2022-02-09_15:14:16,M085754,https://www.testable.org/experiment/4597/148338/start?participant=M085754,0.91,M085754,"23",male,India

rowNo,type,stim1,stim2,stimPos,ITI,stimFormat,feedbackIncorrect,feedbackTime,head,responseType,responseOptions,if,then,fixation,button1,keyboard,key,cursor,random,trialType,correctSide,task,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
2,form,"","","","","","","",What is the highest level of education you completed?,dropdown,Less than High School; High School or Equivalent; College or Technical School; Bachelor's Degree; Master's Degree or Higher,Less than High School,screenout,"",Submit,"","","","","","","","",,"","",49332,Bachelor's Degree,3712,"0","4"
69,test,chickSmall,horseLarge,-342 0; 342 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-342 0;342 0,699,84,"8.32",89348,f,562,"1",""
61,test,hedgehogSmall,cowLarge,-357 0; 357 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-357 0;357 0,699,84,"8.32",231774,f,641,"1",""
189,test,croissantSmall,breadLarge,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-341 0;341 0,699,84,"8.31",233352,f,880,"1",""
119,test,armchairSmall,toasterLarge,-312 0; 312 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-312 0;312 0,699,84,"8.32",234850,f,806,"1",""
112,test,bedLarge,traySmall,-354 0; 354 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-354 0;354 0,699,84,"8.32",236055,j,512,"1",""
97,test,microwaveSmall,sofaLarge,-345 0; 345 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-345 0;345 0,699,84,"8.32",238189,f,1441,"1",""
209,test,boatSmall,shipLarge,-335 0; 335 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-335 0;335 0,699,84,"8.32",239579,f,693,"1",""
163,test,eggplantSmall,chilliLarge,-274 0; 274 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-274 0;274 0,699,84,"8.32",240856,f,580,"1",""
226,test,lighterLarge,treeSmall,-192 0; 192 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-192 0;192 0,699,84,"8.32",241999,j,452,"1",""
195,test,helicopterSmall,tricycleLarge,-356 0; 356 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-356 0;356 0,699,84,"8.32",243091,f,395,"1",""
25,test,turtleSmall,hippoLarge,-366 0; 366 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-366 0;366 0,698,84,"8.32",244294,f,508,"1",""
141,test,blueberrySmall,coconutLarge,-303 0; 303 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-303 0;303 0,699,84,"8.32",245514,f,523,"1",""
155,test,melonSmall,plumLarge,-331 0; 331 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-331 0;331 0,698,84,"8.32",246716,f,510,"1",""
92,test,donkeyLarge,kittySmall,-309 0; 309 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-309 0;309 0,699,84,"8.32",248195,j,783,"1",""
237,test,keySmall,trashbinLarge,-208 0; 208 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-208 0;208 0,698,84,"8.32",249535,f,641,"1",""
79,test,rhinoSmall,lizardLarge,-371 0; 371 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-371 0;371 0,699,84,"8.32",251334,j,1102,"0",""
234,test,featherLarge,suitcaseSmall,-344 0; 344 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-344 0;344 0,699,84,"8.32",257694,j,666,"1",""
106,test,corkscrewLarge,refrigeratorSmall,-240 0; 240 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-240 0;240 0,699,84,"8.32",259172,j,779,"1",""
224,test,treeLarge,lighterSmall,-208 0; 208 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-208 0;208 0,699,84,"8.32",260313,j,447,"1",""
173,test,oliveSmall,lettuceLarge,-365 0; 365 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-365 0;365 0,698,84,"8.32",261719,f,714,"1",""
45,test,parrotSmall,orangutanLarge,-207 0; 207 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-207 0;207 0,699,84,"8.31",262906,f,495,"1",""
159,test,pumpkinSmall,mushroomLarge,-302 0; 302 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-302 0;302 0,699,84,"8.32",264058,f,458,"1",""
62,test,hedgehogLarge,cowSmall,-358 0; 358 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-358 0;358 0,699,84,"8.32",265902,j,1145,"1",""
40,test,camelLarge,pigeonSmall,-255 0; 255 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-255 0;255 0,699,84,"8.32",267244,j,649,"1",""
157,test,plumSmall,melonLarge,-330 0; 330 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-330 0;330 0,699,84,"8.32",268475,f,532,"1",""
244,test,fountainLarge,joystickSmall,-364 0; 364 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-364 0;364 0,699,84,"8.32",270126,j,952,"1",""
42,test,pigeonLarge,camelSmall,-250 0; 250 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-250 0;250 0,699,84,"8.32",271370,f,549,"0",""
154,test,raspberryLarge,orangeSmall,-308 0; 308 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-308 0;308 0,698,84,"8.32",277497,j,429,"1",""
218,test,coinLarge,wheelSmall,-300 0; 300 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-300 0;300 0,699,84,"8.32",278663,j,472,"1",""
36,test,elephantLarge,butterflySmall,-322 0; 322 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-322 0;322 0,699,84,"8.32",279800,j,445,"1",""
56,test,bearLarge,wolfSmall,-295 0; 295 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-295 0;295 0,699,84,"8.32",281156,j,661,"1",""
127,test,dishwasherSmall,backpackLarge,-262 0; 262 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-262 0;262 0,699,84,"8.32",282549,f,697,"1",""
17,test,mouseSmall,lionLarge,-334 0; 334 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-334 0;334 0,699,84,"8.32",283757,f,516,"1",""
94,test,kittyLarge,donkeySmall,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-317 0;317 0,699,84,"8.32",285177,j,722,"1",""
41,test,pigeonSmall,camelLarge,-255 0; 255 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-255 0;255 0,699,84,"8.32",286394,f,524,"1",""
21,test,shrimpSmall,alligatorLarge,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-337 0;337 0,699,84,"8.31",287593,f,501,"1",""
67,test,horseSmall,chickLarge,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-337 0;337 0,699,84,"8.32",288922,f,631,"1",""
152,test,orangeLarge,raspberrySmall,-307 0; 307 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-307 0;307 0,698,84,"8.32",290322,j,709,"1",""
58,test,wolfLarge,bearSmall,-301 0; 301 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-301 0;301 0,699,84,"8.32",291684,j,666,"1",""
142,test,blueberryLarge,coconutSmall,-309 0; 309 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-309 0;309 0,699,84,"8.32",292986,j,604,"1",""
228,test,skyscraperLarge,graterSmall,-220 0; 220 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-220 0;220 0,698,84,"8.32",294253,j,572,"1",""
72,test,walrusLarge,cricketSmall,-369 0; 369 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-369 0;369 0,699,84,"8.32",295920,j,975,"1",""
202,test,bikeLarge,schoolbusSmall,-366 0; 366 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-366 0;366 0,699,84,"8.32",297230,f,613,"0",""
108,test,ladderLarge,hammerSmall,-167 0; 167 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-167 0;167 0,699,84,"8.32",303592,j,661,"1",""
131,test,ovenSmall,bootLarge,-280 0; 280 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-280 0;280 0,699,84,"8.32",305183,f,897,"1",""
19,test,alligatorSmall,shrimpLarge,-335 0; 335 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-335 0;335 0,699,84,"8.32",306475,f,600,"1",""
23,test,hippoSmall,turtleLarge,-365 0; 365 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-365 0;365 0,699,84,"8.32",308098,f,925,"1",""
71,test,walrusSmall,cricketLarge,-369 0; 369 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-369 0;369 0,698,84,"8.32",310353,f,1558,"1",""
207,test,shipSmall,boatLarge,-336 0; 336 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-336 0;336 0,699,84,"8.31",312010,f,961,"1",""
39,test,camelSmall,pigeonLarge,-250 0; 250 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-250 0;250 0,699,84,"8.32",313615,f,909,"1",""
217,test,coinSmall,wheelLarge,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-299 0;299 0,699,84,"8.32",315688,f,1378,"1",""
60,test,cowLarge,hedgehogSmall,-357 0; 357 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-357 0;357 0,699,84,"8.32",317608,j,1226,"1",""
215,test,wheelSmall,coinLarge,-300 0; 300 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-300 0;300 0,699,84,"8.32",318905,f,602,"1",""
44,test,orangutanLarge,parrotSmall,-207 0; 207 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-207 0;207 0,699,84,"8.32",320904,j,1302,"1",""
135,test,watermelonSmall,apricotLarge,-300 0; 300 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-300 0;300 0,699,84,"8.32",323501,f,1904,"1",""
241,test,popsicleSmall,guitarLarge,-155 0; 155 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-155 0;155 0,699,84,"8.32",325258,f,1065,"1",""
78,test,beeLarge,sheepSmall,-319 0; 319 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-319 0;319 0,699,84,"8.32",327349,j,1392,"1",""
82,test,lizardLarge,rhinoSmall,-371 0; 371 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-371 0;371 0,699,84,"8.32",329437,j,1393,"1",""
138,test,apricotLarge,watermelonSmall,-300 0; 300 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-300 0;300 0,699,84,"8.32",330938,j,805,"1",""
216,test,wheelLarge,coinSmall,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-299 0;299 0,699,84,"8.32",332293,j,664,"1",""
68,test,horseLarge,chickSmall,-342 0; 342 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-342 0;342 0,699,84,"8.32",333676,j,691,"1",""
47,test,zebraSmall,duckLarge,-315 0; 315 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-315 0;315 0,699,84,"8.32",336437,f,2062,"1",""
179,test,cabbageSmall,radishLarge,-339 0; 339 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-339 0;339 0,698,84,"8.32",337759,f,631,"1",""
192,test,truckLarge,mopedSmall,-322 0; 322 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-322 0;322 0,699,84,"8.32",339351,j,900,"1",""
147,test,pomegranateSmall,strawberryLarge,-286 0; 286 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-286 0;286 0,699,84,"8.32",340875,f,826,"1",""
132,test,ovenLarge,bootSmall,-273 0; 273 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-273 0;273 0,698,84,"8.32",342747,j,1177,"1",""
80,test,rhinoLarge,lizardSmall,-369 0; 369 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-369 0;369 0,699,84,"8.32",344350,j,907,"1",""
134,test,bootLarge,ovenSmall,-280 0; 280 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-280 0;280 0,699,84,"8.32",345798,j,751,"1",""
32,test,gorillaLarge,squirrelSmall,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-306 0;306 0,699,84,"8.32",348206,j,1710,"1",""
73,test,cricketSmall,walrusLarge,-369 0; 369 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-369 0;369 0,699,84,"8.32",349891,f,991,"1",""
84,test,giraffeLarge,antSmall,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-317 0;317 0,699,84,"8.31",351160,j,572,"1",""
219,test,leafSmall,houseLarge,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-337 0;337 0,699,84,"8.32",353284,f,1432,"1",""
172,test,lettuceLarge,oliveSmall,-365 0; 365 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-365 0;365 0,699,84,"8.32",355097,j,1116,"1",""
175,test,cornSmall,green beanLarge,-349 0; 349 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-349 0;349 0,699,84,"8.31",357735,f,1940,"1",""
161,test,mushroomSmall,pumpkinLarge,-304 0; 304 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-304 0;304 0,698,84,"8.32",358974,f,542,"1",""
121,test,toasterSmall,armchairLarge,-312 0; 312 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-312 0;312 0,699,84,"8.32",361591,f,1919,"1",""
199,test,schoolbusSmall,bikeLarge,-366 0; 366 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-366 0;366 0,699,84,"8.32",363006,f,722,"1",""
101,test,scissorsSmall,trunkLarge,-215 0; 215 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-215 0;215 0,699,84,"8.32",365452,f,1754,"1",""
153,test,raspberrySmall,orangeLarge,-307 0; 307 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-307 0;307 0,699,84,"8.32",366735,f,592,"1",""
35,test,elephantSmall,butterflyLarge,-328 0; 328 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-328 0;328 0,699,84,"8.32",369305,f,1872,"1",""
200,test,schoolbusLarge,bikeSmall,-370 0; 370 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-370 0;370 0,699,84,"8.32",372153,j,2149,"1",""
51,test,dolphinSmall,goldfishLarge,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-341 0;341 0,699,84,"8.32",374797,f,1949,"1",""
187,test,breadSmall,croissantLarge,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-341 0;341 0,699,84,"8.32",376242,f,748,"1",""
89,test,frogSmall,deerLarge,-295 0; 295 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-295 0;295 0,699,84,"8.32",377671,f,738,"1",""
98,test,microwaveLarge,sofaSmall,-353 0; 353 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-353 0;353 0,699,84,"8.32",379005,j,642,"1",""
194,test,mopedLarge,truckSmall,-312 0; 312 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-312 0;312 0,698,84,"8.32",381648,j,1945,"1",""
148,test,pomegranateLarge,strawberrySmall,-288 0; 288 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-288 0;288 0,699,84,"8.32",384431,j,2091,"1",""
88,test,deerLarge,frogSmall,-295 0; 295 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-295 0;295 0,698,84,"8.32",388181,j,3054,"1",""
34,test,squirrelLarge,gorillaSmall,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-306 0;306 0,699,84,"8.32",390059,j,1181,"1",""
28,test,tigerLarge,rabbitSmall,-301 0; 301 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-301 0;301 0,699,84,"8.32",391621,j,863,"1",""
196,test,helicopterLarge,tricycleSmall,-353 0; 353 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-353 0;353 0,699,84,"8.32",394587,j,2273,"1",""
176,test,cornLarge,green beanSmall,-348 0; 348 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-348 0;348 0,698,84,"8.32",396655,j,1373,"1",""
90,test,frogLarge,deerSmall,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-299 0;299 0,699,84,"8.32",398190,j,843,"1",""
